Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
HCLTECH,EQ,4-Feb-20,579.1,583,589.25,582.5,587.8,586.5,586.68,3246094,1904422835,70121,2304138,70.98
HCLTECH,EQ,5-Feb-20,586.5,589.4,598.5,586,595,595.6,594.34,3006324,1786763874,109513,1738594,57.83
HCLTECH,EQ,6-Feb-20,595.6,598.95,613,598,601,599.7,603.6,4704968,2839896598,81356,2808209,59.69
HCLTECH,EQ,7-Feb-20,599.7,601.65,609.2,599.15,605,607.7,605.1,2865379,1733839281,57503,1827003,63.76
HCLTECH,EQ,10-Feb-20,607.7,608.9,611.55,601.65,603,604.9,605.7,2286213,1384767003,34996,1591595,69.62
HCLTECH,EQ,11-Feb-20,604.9,606,613.75,605.7,610.95,610.65,610.79,2458748,1501768180,118909,1671637,67.99
HCLTECH,EQ,12-Feb-20,610.65,613,620.5,610.3,612.2,614.1,614.82,4873027,2996058414,108142,3438041,70.55
HCLTECH,EQ,13-Feb-20,614.1,612,613.95,604.05,612.5,612.45,608.15,2090363,1271260965,44088,1084025,51.86
HCLTECH,EQ,14-Feb-20,612.45,612.45,623.25,612.25,622.15,621.65,619.82,3650630,2262731808,101590,2322074,63.61
HCLTECH,EQ,17-Feb-20,621.65,623,623.5,612.35,613.45,613.45,615.53,2190578,1348368546,73941,1371469,62.61
HCLTECH,EQ,18-Feb-20,613.45,613.45,615.8,605.15,609.8,607.05,608.11,5237465,3184953678,71859,3944951,75.32
HCLTECH,EQ,19-Feb-20,607.05,614.45,618.25,604,604.45,605.75,610.1,3799862,2318282583,73152,2634371,69.33
HCLTECH,EQ,20-Feb-20,605.75,611,612.95,605.15,610,608.05,608.47,4820313,2932993839,115488,3765792,78.12
HCLTECH,EQ,24-Feb-20,608.05,608,609,591.5,592.15,595.15,602.49,4070143,2452203952,105019,2871001,70.54
HCLTECH,EQ,25-Feb-20,595.15,595.5,595.7,575,583.2,582.45,582.04,5525575,3216091091,115367,3351569,60.66
HCLTECH,EQ,26-Feb-20,582.45,576.9,589.05,575.5,583.25,583.6,582.92,5460070,3182772786,100228,3912612,71.66
HCLTECH,EQ,27-Feb-20,583.6,582.1,582.4,568,571,573.05,573.13,4078174,2337341544,97257,2571171,63.05
HCLTECH,EQ,28-Feb-20,573.05,560,564,531.2,539,534.35,546.95,7894806,4318041180,161062,5641457,71.46
HCLTECH,EQ,2-Mar-20,534.35,541.05,565.85,537.85,547.6,549.7,553.95,8175982,4529087570,166431,4757527,58.19
HCLTECH,EQ,3-Mar-20,549.7,556,568.75,555,568.2,565.05,561.76,4682284,2630302017,131005,2921488,62.39
HCLTECH,EQ,4-Mar-20,565.05,569,575.4,561,562.2,563.1,566.67,5175180,2932609654,104336,2995152,57.88
HCLTECH,EQ,5-Mar-20,563.1,568,581.9,563.15,576,576.4,578.35,6061347,3505571601,89062,3342007,55.14
HCLTECH,EQ,6-Mar-20,576.4,570,573.95,559.55,568,566.2,564.49,3288548,1856339904,72399,1780941,54.16
HCLTECH,EQ,9-Mar-20,566.2,555,558,536.45,542.55,540.45,543.06,3699831,2009218670,82357,2008244,54.28
HCLTECH,EQ,11-Mar-20,540.45,526.75,542.65,514,538.05,536.8,533.8,4850036,2588947282,105339,2600565,53.62
HCLTECH,EQ,12-Mar-20,536.8,521,527.8,486.35,494,493.35,506.11,5321420,2693243989,161096,3096516,58.19
HCLTECH,EQ,13-Mar-20,493.35,460,517.25,395.95,497,492.9,479.71,6859998,3290807920,117288,2869311,41.83
HCLTECH,EQ,16-Mar-20,492.9,469,479.8,446.85,453.25,450.7,464.14,5281596,2451413146,126930,2981225,56.45
HCLTECH,EQ,17-Mar-20,450.7,450,478.6,443.35,455,450.65,459.39,5148569,2365223532,99381,2957732,57.45
HCLTECH,EQ,18-Mar-20,450.65,455,464.8,429.05,437,434.25,442.39,4936460,2183860725,123650,2901862,58.78
HCLTECH,EQ,19-Mar-20,434.25,418.9,434.6,375.25,419,413.45,413.01,9270054,3828624864,184203,4577255,49.38
